,Year,Player,Team
0,2023,Joel EmbiidC,1st
1,2023,Giannis AntetokounmpoF,1st
2,2023,Jayson TatumF,1st
3,2023,Luka DončićG,1st
4,2023,Shai Gilgeous-AlexanderG,1st
5,2023,Nikola JokićC,2nd
6,2023,Jimmy ButlerF,2nd
7,2023,Jaylen BrownF,2nd
8,2023,Donovan MitchellG,2nd
9,2023,Stephen CurryG,2nd
10,2023,Domantas SabonisC,3rd
11,2023,LeBron JamesF,3rd
12,2023,Julius RandleF,3rd
13,2023,De'Aaron FoxG,3rd
14,2023,Damian LillardG,3rd
15,2022,Nikola JokićC,1st
16,2022,Giannis AntetokounmpoF,1st
17,2022,Jayson TatumF,1st
18,2022,Luka DončićG,1st
19,2022,Devin BookerG,1st
20,2022,Joel EmbiidC,2nd
21,2022,Kevin DurantF,2nd
22,2022,DeMar DeRozanF,2nd
23,2022,Ja MorantG,2nd
24,2022,Stephen CurryG,2nd
25,2022,Karl-Anthony TownsC,3rd
26,2022,LeBron JamesF,3rd
27,2022,Pascal SiakamF,3rd
28,2022,Chris PaulG,3rd
29,2022,Trae YoungG,3rd
30,2021,Nikola JokićC,1st
31,2021,Giannis AntetokounmpoF,1st
32,2021,Kawhi LeonardF,1st
33,2021,Stephen CurryG,1st
34,2021,Luka DončićG,1st
35,2021,Joel EmbiidC,2nd
36,2021,Julius RandleF,2nd
37,2021,LeBron JamesF,2nd
38,2021,Chris PaulG,2nd
39,2021,Damian LillardG,2nd
40,2021,Rudy GobertC,3rd
41,2021,Jimmy ButlerF,3rd
42,2021,Paul GeorgeF,3rd
43,2021,Bradley BealG,3rd
44,2021,Kyrie IrvingG,3rd
45,2020,Anthony DavisC,1st
46,2020,Giannis AntetokounmpoF,1st
47,2020,LeBron JamesF,1st
48,2020,James HardenG,1st
49,2020,Luka DončićG,1st
50,2020,Nikola JokićC,2nd
51,2020,Kawhi LeonardF,2nd
52,2020,Pascal SiakamF,2nd
53,2020,Damian LillardG,2nd
54,2020,Chris PaulG,2nd
55,2020,Rudy GobertC,3rd
56,2020,Jayson TatumF,3rd
57,2020,Jimmy ButlerF,3rd
58,2020,Ben SimmonsG,3rd
59,2020,Russell WestbrookG,3rd
60,2019,Nikola JokićC,1st
61,2019,Giannis AntetokounmpoF,1st
62,2019,Paul GeorgeF,1st
63,2019,James HardenG,1st
64,2019,Stephen CurryG,1st
65,2019,Joel EmbiidC,2nd
66,2019,Kevin DurantF,2nd
67,2019,Kawhi LeonardF,2nd
68,2019,Damian LillardG,2nd
69,2019,Kyrie IrvingG,2nd
70,2019,Rudy GobertC,3rd
71,2019,LeBron JamesF,3rd
72,2019,Blake GriffinF,3rd
73,2019,Kemba WalkerG,3rd
74,2019,Russell WestbrookG,3rd
75,2018,Anthony DavisC,1st
76,2018,LeBron JamesF,1st
77,2018,Kevin DurantF,1st
78,2018,Damian LillardG,1st
79,2018,James HardenG,1st
80,2018,Joel EmbiidC,2nd
81,2018,Giannis AntetokounmpoF,2nd
82,2018,LaMarcus AldridgeF,2nd
83,2018,Russell WestbrookG,2nd
84,2018,DeMar DeRozanG,2nd
85,2018,Karl-Anthony TownsC,3rd
86,2018,Jimmy ButlerF,3rd
87,2018,Paul GeorgeF,3rd
88,2018,Stephen CurryG,3rd
89,2018,Victor OladipoG,3rd
90,2017,Anthony DavisC,1st
91,2017,LeBron JamesF,1st
92,2017,Kawhi LeonardF,1st
93,2017,James HardenG,1st
94,2017,Russell WestbrookG,1st
95,2017,Rudy GobertC,2nd
96,2017,Giannis AntetokounmpoF,2nd
97,2017,Kevin DurantF,2nd
98,2017,Stephen CurryG,2nd
99,2017,Isaiah ThomasG,2nd
100,2017,DeAndre JordanC,3rd
101,2017,Draymond GreenF,3rd
102,2017,Jimmy ButlerF,3rd
103,2017,John WallG,3rd
104,2017,DeMar DeRozanG,3rd
105,2016,DeAndre JordanC,1st
106,2016,LeBron JamesF,1st
107,2016,Kawhi LeonardF,1st
108,2016,Stephen CurryG,1st
109,2016,Russell WestbrookG,1st
110,2016,DeMarcus CousinsC,2nd
111,2016,Kevin DurantF,2nd
112,2016,Draymond GreenF,2nd
113,2016,Chris PaulG,2nd
114,2016,Damian LillardG,2nd
115,2016,Andre DrummondC,3rd
116,2016,Paul GeorgeF,3rd
117,2016,LaMarcus AldridgeF,3rd
118,2016,Klay ThompsonG,3rd
119,2016,Kyle LowryG,3rd
120,2015,Marc GasolC,1st
121,2015,LeBron JamesF,1st
122,2015,Anthony DavisF,1st
123,2015,Stephen CurryG,1st
124,2015,James HardenG,1st
125,2015,DeMarcus CousinsC,2nd
126,2015,Pau GasolC,2nd
127,2015,LaMarcus AldridgeF,2nd
128,2015,Russell WestbrookG,2nd
129,2015,Chris PaulG,2nd
130,2015,DeAndre JordanC,3rd
131,2015,Blake GriffinF,3rd
132,2015,Tim DuncanF,3rd
133,2015,Klay ThompsonG,3rd
134,2015,Kyrie IrvingG,3rd
135,2014,Joakim NoahC,1st
136,2014,Kevin DurantF,1st
137,2014,LeBron JamesF,1st
138,2014,James HardenG,1st
139,2014,Chris PaulG,1st
140,2014,Dwight HowardC,2nd
141,2014,Blake GriffinF,2nd
142,2014,Kevin LoveF,2nd
143,2014,Stephen CurryG,2nd
144,2014,Tony ParkerG,2nd
145,2014,Al JeffersonC,3rd
146,2014,Paul GeorgeF,3rd
147,2014,LaMarcus AldridgeF,3rd
148,2014,Goran DragićG,3rd
149,2014,Damian LillardG,3rd
150,2013,Tim DuncanC,1st
151,2013,Kevin DurantF,1st
152,2013,LeBron JamesF,1st
153,2013,Kobe BryantG,1st
154,2013,Chris PaulG,1st
155,2013,Marc GasolC,2nd
156,2013,Carmelo AnthonyF,2nd
157,2013,Blake GriffinF,2nd
158,2013,Tony ParkerG,2nd
159,2013,Russell WestbrookG,2nd
160,2013,Dwight HowardC,3rd
161,2013,Paul GeorgeF,3rd
162,2013,David LeeF,3rd
163,2013,James HardenG,3rd
164,2013,Dwyane WadeG,3rd
165,2012,Dwight HowardC,1st
166,2012,Kevin DurantF,1st
167,2012,LeBron JamesF,1st
168,2012,Kobe BryantG,1st
169,2012,Chris PaulG,1st
170,2012,Andrew BynumC,2nd
171,2012,Blake GriffinF,2nd
172,2012,Kevin LoveF,2nd
173,2012,Tony ParkerG,2nd
174,2012,Russell WestbrookG,2nd
175,2012,Tyson ChandlerC,3rd
176,2012,Carmelo AnthonyF,3rd
177,2012,Dirk NowitzkiF,3rd
178,2012,Rajon RondoG,3rd
179,2012,Dwyane WadeG,3rd
180,2011,Dwight HowardC,1st
181,2011,Kevin DurantF,1st
182,2011,LeBron JamesF,1st
183,2011,Kobe BryantG,1st
184,2011,Derrick RoseG,1st
185,2011,Amar'e StoudemireC,2nd
186,2011,Pau GasolF,2nd
187,2011,Dirk NowitzkiF,2nd
188,2011,Dwyane WadeG,2nd
189,2011,Russell WestbrookG,2nd
190,2011,Al HorfordC,3rd
191,2011,LaMarcus AldridgeF,3rd
192,2011,Zach RandolphF,3rd
193,2011,Manu GinóbiliG,3rd
194,2011,Chris PaulG,3rd
195,2010,Dwight HowardC,1st
196,2010,Kevin DurantF,1st
197,2010,LeBron JamesF,1st
198,2010,Kobe BryantG,1st
199,2010,Dwyane WadeG,1st
200,2010,Amar'e StoudemireC,2nd
201,2010,Carmelo AnthonyF,2nd
202,2010,Dirk NowitzkiF,2nd
203,2010,Steve NashG,2nd
204,2010,Deron WilliamsG,2nd
205,2010,Andrew BogutC,3rd
206,2010,Tim DuncanF,3rd
207,2010,Pau GasolF,3rd
208,2010,Joe JohnsonG,3rd
209,2010,Brandon RoyG,3rd
210,2009,Dwight HowardC,1st
211,2009,LeBron JamesF,1st
212,2009,Dirk NowitzkiF,1st
213,2009,Kobe BryantG,1st
214,2009,Dwyane WadeG,1st
215,2009,Yao MingC,2nd
