Date,Team,1Q,2Q,3Q,4Q,T,1OT
2/11/2014,A-UTA,16,32,20,28,96,
2/11/2014,H-LAL,27,10,23,19,79,
1/2/2015,A-ATL,31,26,25,16,98,
1/2/2015,H-UTA,21,24,23,24,92,
4/3/2016,A-MEM,30,26,29,22,107,
4/3/2016,H-ORL,29,38,30,22,119,
12/27/2017,A-UTA,24,23,22,32,101,
12/27/2017,H-GSW,23,25,42,36,126,
11/17/2018,A-LAL,31,22,28,36,117,
11/17/2018,H-ORL,25,37,38,30,130,
11/18/2018,A-NYK,31,35,26,25,117,
11/18/2018,H-ORL,44,23,31,33,131,
12/2/2018,A-UTA,35,20,22,23,100,
12/2/2018,H-MIA,27,26,27,22,102,
11/8/2019,A-SAC,31,32,28,30,121,
11/8/2019,H-ATL,24,23,36,26,109,
11/3/2021,A-NOP,26,26,35,12,99,
11/3/2021,H-SAC,27,29,36,20,112,
11/7/2021,A-IND,27,21,26,20,94,
11/7/2021,H-SAC,19,24,24,24,91,
11/19/2021,A-TOR,30,33,33,12,108,
11/19/2021,H-SAC,27,18,21,23,89,
11/20/2021,A-UTA,29,25,30,39,123,
11/20/2021,H-SAC,28,21,31,25,105,
12/19/2021,A-SAS,27,29,29,29,114,
12/19/2021,H-SAC,37,26,28,30,121,
1/14/2022,A-HOU,40,20,29,25,114,
1/14/2022,H-SAC,31,34,33,28,126,
3/18/2022,A-BOS,32,35,25,34,126,
3/18/2022,H-SAC,26,22,31,18,97,
3/20/2022,A-PHO,22,27,34,27,127,17
3/20/2022,H-SAC,26,33,28,23,124,14
3/30/2022,A-NOP,32,19,34,32,117,
3/30/2022,H-POR,36,18,28,25,107,
10/22/2022,A-LAC,29,23,34,25,111,
10/22/2022,H-SAC,26,29,25,29,109,
10/27/2022,A-MEM,32,31,31,31,125,
10/27/2022,H-SAC,28,28,27,27,110,
12/19/2022,A-CHO,39,27,25,34,125,
12/19/2022,H-SAC,30,33,29,27,119,
1/20/2023,A-OKC,32,34,22,25,113,
1/20/2023,H-SAC,33,26,32,27,118,
1/21/2023,A-PHI,27,37,38,27,129,
1/21/2023,H-SAC,35,39,22,31,127,
